,t,lat,lon,F,dF,D,dD,I,dI,colat,rad,dt,FID,UID
0,-2000.0,60.6,23.1,60000.0,5000.0,,,,,29.4,6371.2,100,ERDA/2101/,0
1,-2000.0,36.0,103.8,46500.0,5000.0,,,,,54.0,6371.2,100,ERDA/2101/,1
2,-2000.0,33.0,111.4,45600.0,5000.0,,,,,57.0,6371.2,100,ERDA/2101/,2
3,-2000.0,30.5,111.4,42000.0,5000.0,,,,,59.5,6371.2,100,ERDA/2101/,3
4,-2000.0,-1.9,279.3,38410.0,5000.0,,,,,91.9,6371.2,100,ERDA/2101/,4
5,-2000.0,-1.9,279.3,19500.0,5000.0,,,,,91.9,6371.2,100,ERDA/2101/,5
6,-2000.0,-1.9,279.3,28520.0,5000.0,,,,,91.9,6371.2,100,ERDA/2101/,6
7,-2000.0,34.5,40.9,46800.0,5000.0,,,,,55.5,6371.2,100,ERDA/2101/,7
8,-2000.0,42.0,43.0,40000.0,5000.0,,,,,48.0,6371.2,100,ERDA/2101/,8
9,-2000.0,42.0,43.0,39000.0,5000.0,,,,,48.0,6371.2,100,ERDA/2101/,9
10,-2000.0,42.0,43.0,35000.0,7800.0,,,,,48.0,6371.2,100,ERDA/2101/,10
11,-2000.0,38.0,136.0,43300.0,5000.0,,,,,52.0,6371.2,100,ERDA/2101/,11
12,-2000.0,32.8,130.1,62900.0,5000.0,,,,,57.2,6371.2,100,ERDA/2101/,12
13,-2000.0,29.2,31.8,38400.0,5000.0,,,,,60.8,6371.2,100,ERDA/2101/,13
14,-2000.0,36.4,138.5,41940.0,5000.0,,,,,53.6,6371.2,100,ERDA/2101/,14
15,-2000.0,36.4,138.5,81650.0,5000.0,,,,,53.6,6371.2,100,ERDA/2101/,15
16,-2000.0,34.5,40.9,37400.0,5000.0,,,,,55.5,6371.2,100,ERDA/2101/,16
17,-2000.0,34.5,40.9,40800.0,5000.0,,,,,55.5,6371.2,100,ERDA/2101/,17
18,-2000.0,34.5,40.9,45900.0,5000.0,,,,,55.5,6371.2,100,ERDA/2101/,18
19,-2000.0,19.1,204.2,,,7.3,2.8,29.9,2.4,70.9,6371.2,100,ERDA/2101/,19
20,-2000.0,25.5,77.0,43100.0,5600.0,,,,,64.5,6371.2,100,ERDA/2101/,20
21,-1990.0,30.0,31.0,64300.0,12700.0,,,,,60.0,6371.2,100,ERDA/2101/,21
22,-1980.0,54.0,107.5,55400.0,7200.0,,,,,36.0,6371.2,100,ERDA/2101/,22
23,-1980.0,19.4,204.6,,,5.7,2.9,31.2,2.4,70.6,6371.2,100,ERDA/2101/,23
24,-1975.0,39.0,62.0,50700.0,5100.0,,,,,51.0,6371.2,100,ERDA/2101/,24
25,-1960.0,26.2,31.9,41600.0,5000.0,,,,,63.8,6371.2,100,ERDA/2101/,25
26,-1955.0,22.2,75.6,40300.0,8100.0,,,,,67.8,6371.2,100,ERDA/2101/,26
27,-1950.0,29.8,31.0,47500.0,5000.0,,,,,60.2,6371.2,100,ERDA/2101/,27
28,-1950.0,53.0,107.0,41200.0,5000.0,,,,,37.0,6371.2,100,ERDA/2101/,28
29,-1950.0,38.0,62.0,52400.0,5200.0,,,,,52.0,6371.2,100,ERDA/2101/,29
30,-1945.0,19.2,204.2,,,6.6,3.1,37.8,2.4,70.8,6371.2,100,ERDA/2101/,30
31,-1930.0,19.7,204.5,,,3.2,2.9,31.2,2.4,70.3,6371.2,100,ERDA/2101/,31
32,-1930.0,19.7,204.8,,,4.3,2.8,29.6,2.4,70.3,6371.2,100,ERDA/2101/,32
33,-1925.0,39.0,62.0,51500.0,5100.0,,,,,51.0,6371.2,100,ERDA/2101/,33
34,-1910.0,32.6,44.6,38500.0,5000.0,,,,,57.4,6371.2,100,ERDA/2101/,34
35,-1905.0,39.0,356.5,50600.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,35
36,-1900.0,32.6,44.6,35800.0,5000.0,,,,,57.4,6371.2,100,ERDA/2101/,36
37,-1900.0,44.4,238.0,70200.0,5000.0,,,,,45.6,6371.2,100,ERDA/2101/,37
38,-1900.0,42.0,43.0,25000.0,5000.0,,,,,48.0,6371.2,100,ERDA/2101/,38
39,-1900.0,39.5,359.6,59700.0,6000.0,,,,,50.5,6371.2,100,ERDA/2101/,39
40,-1900.0,46.3,20.3,,,5.6,4.1,53.6,2.4,43.7,6371.2,100,ERDA/2101/,40
41,-1900.0,52.6,356.9,,,-1.5,4.9,60.1,2.4,37.4,6371.2,100,ERDA/2101/,41
42,-1890.0,54.0,107.5,50400.0,6700.0,,,,,36.0,6371.2,100,ERDA/2101/,42
43,-1890.0,40.3,23.5,35900.0,7700.0,,,,,49.7,6371.2,100,ERDA/2101/,43
44,-1885.0,29.5,31.0,31000.0,5000.0,,,,,60.5,6371.2,100,ERDA/2101/,44
45,-1880.0,19.5,257.9,28900.0,5500.0,,,,,70.5,6371.2,100,ERDA/2101/,45
46,-1880.0,19.4,257.9,,,-10.5,2.7,26.1,2.4,70.6,6371.2,100,ERDA/2101/,46
47,-1880.0,35.5,24.7,42300.0,5000.0,,,,,54.5,6371.2,100,ERDA/2101/,47
48,-1875.0,39.0,62.0,48300.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,48
49,-1875.0,39.0,356.5,56600.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,49
50,-1865.0,35.5,24.0,59700.0,5000.0,,,,,54.5,6371.2,100,ERDA/2101/,50
51,-1860.0,25.4,31.0,37500.0,5000.0,,,,,64.6,6371.2,100,ERDA/2101/,51
52,-1850.0,19.7,246.4,35700.0,5000.0,,,,,70.3,6371.2,100,ERDA/2101/,52
53,-1850.0,38.0,62.0,45300.0,5000.0,,,,,52.0,6371.2,100,ERDA/2101/,53
54,-1850.0,65.5,343.0,52000.0,5000.0,-13.5,14.0,79.8,2.4,24.5,6371.2,100,ERDA/2101/,54
55,-1850.0,34.8,36.9,,,-11.1,7.5,42.3,5.6,55.2,6371.2,100,ERDA/2101/,55
56,-1850.0,35.0,24.8,,,6.5,3.1,38.5,2.4,55.0,6371.2,100,ERDA/2101/,56
57,-1850.0,39.0,356.5,57100.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,57
58,-1850.0,25.5,77.0,41800.0,5500.0,,,,,64.5,6371.2,100,ERDA/2101/,58
59,-1845.0,32.6,44.6,38100.0,5000.0,,,,,57.4,6371.2,100,ERDA/2101/,59
60,-1845.0,32.6,44.6,40200.0,5000.0,,,,,57.4,6371.2,100,ERDA/2101/,60
61,-1835.0,35.0,24.8,35100.0,5000.0,,,,,55.0,6371.2,100,ERDA/2101/,61
62,-1830.0,39.0,356.5,43600.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,62
63,-1825.0,32.6,44.6,38900.0,5000.0,,,,,57.4,6371.2,100,ERDA/2101/,63
64,-1825.0,34.5,40.9,42700.0,5000.0,,,,,55.5,6371.2,100,ERDA/2101/,64
65,-1825.0,34.5,40.9,43400.0,5000.0,,,,,55.5,6371.2,100,ERDA/2101/,65
66,-1820.0,39.5,359.6,41000.0,5000.0,,,,,50.5,6371.2,100,ERDA/2101/,66
67,-1815.0,29.8,31.0,22500.0,5000.0,,,,,60.2,6371.2,100,ERDA/2101/,67
68,-1815.0,29.8,31.0,33000.0,5000.0,,,,,60.2,6371.2,100,ERDA/2101/,68
69,-1810.0,39.0,356.5,40500.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,69
70,-1800.0,34.7,113.7,41400.0,5000.0,,,,,55.3,6371.2,100,ERDA/2101/,70
71,-1800.0,33.2,43.5,43000.0,11700.0,,,,,56.8,6371.2,100,ERDA/2101/,71
72,-1800.0,42.2,24.8,60210.0,5000.0,18.5,4.0,47.9,2.7,47.8,6371.2,100,ERDA/2101/,72
73,-1795.0,25.5,77.0,38400.0,5300.0,,,,,64.5,6371.2,100,ERDA/2101/,73
74,-1795.0,25.5,77.0,46100.0,5800.0,,,,,64.5,6371.2,100,ERDA/2101/,74
75,-1790.0,25.5,77.0,39800.0,5400.0,,,,,64.5,6371.2,100,ERDA/2101/,75
76,-1790.0,39.0,356.5,36400.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,76
77,-1785.0,29.7,35.0,56100.0,5000.0,,,,,60.3,6371.2,100,ERDA/2101/,77
78,-1785.0,29.7,35.0,59100.0,7200.0,,,,,60.3,6371.2,100,ERDA/2101/,78
79,-1780.0,19.3,204.2,,,4.3,3.0,36.1,2.4,70.7,6371.2,100,ERDA/2101/,79
80,-1775.0,54.0,107.5,49000.0,6500.0,,,,,36.0,6371.2,100,ERDA/2101/,80
81,-1775.0,34.5,40.9,38100.0,5000.0,,,,,55.5,6371.2,100,ERDA/2101/,81
82,-1775.0,39.0,356.5,42100.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,82
83,-1775.0,42.1,25.8,60570.0,5240.0,2.2,5.0,60.4,2.4,47.9,6371.2,100,ERDA/2101/,83
84,-1770.0,32.6,44.6,42400.0,5000.0,,,,,57.4,6371.2,100,ERDA/2101/,84
85,-1770.0,19.1,204.4,54800.0,5000.0,21.0,2.8,27.4,2.4,70.9,6371.2,100,ERDA/2101/,85
86,-1765.0,36.0,42.7,38400.0,5000.0,,,,,54.0,6371.2,100,ERDA/2101/,86
87,-1765.0,19.5,205.1,28780.0,5000.0,,,,,70.5,6371.2,100,ERDA/2101/,87
88,-1765.0,19.5,205.1,51400.0,5000.0,,,,,70.5,6371.2,100,ERDA/2101/,88
89,-1760.0,39.0,356.5,43400.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,89
90,-1755.0,36.0,42.7,39900.0,5000.0,,,,,54.0,6371.2,100,ERDA/2101/,90
91,-1750.0,41.6,120.5,67200.0,5000.0,,,,,48.4,6371.2,100,ERDA/2101/,91
92,-1750.0,35.1,107.6,47630.0,5000.0,,,,,54.9,6371.2,100,ERDA/2101/,92
93,-1750.0,42.0,43.0,36000.0,5000.0,,,,,48.0,6371.2,100,ERDA/2101/,93
94,-1750.0,55.0,109.0,49800.0,5000.0,,,,,35.0,6371.2,100,ERDA/2101/,94
95,-1750.0,38.0,62.0,43300.0,5000.0,,,,,52.0,6371.2,100,ERDA/2101/,95
96,-1740.0,39.0,356.5,42400.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,96
97,-1740.0,19.7,204.1,,,5.4,3.0,35.9,2.4,70.3,6371.2,100,ERDA/2101/,97
98,-1725.0,30.5,31.9,36550.0,5000.0,,,,,59.5,6371.2,100,ERDA/2101/,98
99,-1725.0,39.0,356.5,40200.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,99
100,-1710.0,39.0,356.5,44300.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,100
101,-1700.0,29.8,31.0,37000.0,5000.0,,,,,60.2,6371.2,100,ERDA/2101/,101
102,-1700.0,35.1,107.6,46900.0,5000.0,,,,,54.9,6371.2,100,ERDA/2101/,102
103,-1700.0,42.0,43.0,51000.0,5900.0,,,,,48.0,6371.2,100,ERDA/2101/,103
104,-1700.0,31.0,101.9,64000.0,12800.0,,,,,59.0,6371.2,100,ERDA/2101/,104
105,-1690.0,39.0,356.5,47400.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,105
106,-1680.0,19.4,204.6,67840.0,7050.0,2.2,2.9,32.9,2.4,70.6,6371.2,100,ERDA/2101/,106
107,-1680.0,19.4,204.6,67840.0,7050.0,,,,,70.6,6371.2,100,ERDA/2101/,107
108,-1680.0,19.4,204.6,57320.0,5170.0,,,,,70.6,6371.2,100,ERDA/2101/,108
109,-1675.0,39.0,356.5,44400.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,109
110,-1655.0,39.0,356.5,43500.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,110
111,-1655.0,19.8,204.6,,,1.8,3.0,34.0,2.4,70.2,6371.2,100,ERDA/2101/,111
112,-1655.0,19.8,204.9,,,8.1,3.1,38.8,2.4,70.2,6371.2,100,ERDA/2101/,112
113,-1650.0,34.7,112.7,62200.0,5000.0,,,,,55.3,6371.2,100,ERDA/2101/,113
114,-1650.0,42.0,43.0,,,,,,,48.0,6371.2,100,ERDA/2101/,114
115,-1650.0,42.0,43.0,46000.0,5400.0,,,,,48.0,6371.2,100,ERDA/2101/,115
116,-1650.0,38.0,62.0,48200.0,5000.0,,,,,52.0,6371.2,100,ERDA/2101/,116
117,-1650.0,50.2,354.7,,,7.1,5.7,64.4,2.4,39.8,6371.2,100,ERDA/2101/,117
118,-1650.0,39.0,356.5,42500.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,118
119,-1640.0,54.0,107.5,50100.0,6600.0,,,,,36.0,6371.2,100,ERDA/2101/,119
120,-1640.0,39.0,356.5,46700.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,120
121,-1630.0,19.7,204.2,,,7.0,3.1,38.4,2.4,70.3,6371.2,100,ERDA/2101/,121
122,-1630.0,21.0,70.5,37600.0,7500.0,,,,,69.0,6371.2,100,ERDA/2101/,122
123,-1625.0,26.8,31.0,39000.0,5000.0,,,,,63.2,6371.2,100,ERDA/2101/,123
124,-1625.0,34.9,40.6,51000.0,5000.0,,,,,55.1,6371.2,100,ERDA/2101/,124
125,-1625.0,34.9,40.6,40800.0,5000.0,,,,,55.1,6371.2,100,ERDA/2101/,125
126,-1625.0,39.0,356.5,48300.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,126
127,-1610.0,30.5,31.9,41800.0,5000.0,,,,,59.5,6371.2,100,ERDA/2101/,127
128,-1610.0,25.4,31.0,37000.0,5000.0,,,,,64.6,6371.2,100,ERDA/2101/,128
129,-1605.0,39.0,356.5,46500.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,129
130,-1600.0,19.5,204.1,,,1.4,2.7,26.0,2.4,70.5,6371.2,100,ERDA/2101/,130
131,-1600.0,36.0,139.7,37300.0,5000.0,,,,,54.0,6371.2,100,ERDA/2101/,131
132,-1600.0,35.7,103.3,49500.0,6800.0,,,,,54.3,6371.2,100,ERDA/2101/,132
133,-1600.0,42.0,43.0,54000.0,6200.0,,,,,48.0,6371.2,100,ERDA/2101/,133
134,-1600.0,38.0,67.0,48300.0,5000.0,,,,,52.0,6371.2,100,ERDA/2101/,134
135,-1590.0,20.6,203.6,,,-10.2,3.1,38.7,2.4,69.4,6371.2,100,ERDA/2101/,135
136,-1590.0,20.7,203.8,,,2.2,3.0,36.4,2.4,69.3,6371.2,100,ERDA/2101/,136
137,-1590.0,39.0,356.5,43000.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,137
138,-1575.0,38.0,67.0,47400.0,5000.0,,,,,52.0,6371.2,100,ERDA/2101/,138
139,-1570.0,39.0,356.5,52000.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,139
140,-1565.0,40.3,23.5,51700.0,10800.0,,,,,49.7,6371.2,100,ERDA/2101/,140
141,-1560.0,54.0,107.5,52200.0,6800.0,,,,,36.0,6371.2,100,ERDA/2101/,141
142,-1560.0,35.5,24.7,58000.0,5000.0,,,,,54.5,6371.2,100,ERDA/2101/,142
143,-1555.0,39.0,356.5,49700.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,143
144,-1550.0,34.7,112.7,49200.0,5000.0,,,,,55.3,6371.2,100,ERDA/2101/,144
145,-1550.0,34.7,113.7,58000.0,5000.0,,,,,55.3,6371.2,100,ERDA/2101/,145
146,-1550.0,34.7,113.6,65199.0,5000.0,,,,,55.3,6371.2,100,ERDA/2101/,146
147,-1550.0,38.5,101.1,50860.0,5000.0,,,,,51.5,6371.2,100,ERDA/2101/,147
148,-1550.0,42.0,43.0,51000.0,5900.0,,,,,48.0,6371.2,100,ERDA/2101/,148
149,-1550.0,38.0,62.0,45800.0,5700.0,,,,,52.0,6371.2,100,ERDA/2101/,149
150,-1550.0,35.2,26.3,,,5.9,3.8,49.3,2.4,54.8,6371.2,100,ERDA/2101/,150
151,-1545.0,-35.9,144.5,66300.0,5000.0,21.0,3.6,-46.4,2.4,125.9,6371.2,100,ERDA/2101/,151
152,-1535.0,39.0,356.5,48400.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,152
153,-1530.0,19.3,204.7,55100.0,8320.0,2.5,3.0,36.5,2.4,70.7,6371.2,100,ERDA/2101/,153
154,-1530.0,19.3,204.7,45400.0,10300.0,3.7,3.0,36.4,2.4,70.7,6371.2,100,ERDA/2101/,154
155,-1525.0,32.0,35.0,46900.0,5000.0,,,,,58.0,6371.2,100,ERDA/2101/,155
156,-1525.0,-22.2,247.0,23680.0,5000.0,,,,,112.2,6371.2,100,ERDA/2101/,156
157,-1525.0,42.0,43.0,49000.0,5700.0,,,,,48.0,6371.2,100,ERDA/2101/,157
158,-1525.0,38.0,62.0,43900.0,5000.0,,,,,52.0,6371.2,100,ERDA/2101/,158
159,-1525.0,29.5,32.8,,,,,65.1,2.4,60.5,6371.2,100,ERDA/2101/,159
160,-1520.0,31.0,101.9,60000.0,12000.0,,,,,59.0,6371.2,100,ERDA/2101/,160
161,-1515.0,39.0,356.5,51000.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,161
162,-1510.0,25.4,31.0,55000.0,5000.0,,,,,64.6,6371.2,100,ERDA/2101/,162
163,-1510.0,42.0,43.0,60000.0,6800.0,,,,,48.0,6371.2,100,ERDA/2101/,163
164,-1510.0,35.2,24.0,43900.0,5000.0,,,,,54.8,6371.2,100,ERDA/2101/,164
165,-1505.0,33.2,43.5,44900.0,12100.0,,,,,56.8,6371.2,100,ERDA/2101/,165
166,-1500.0,41.6,120.5,59200.0,5000.0,,,,,48.4,6371.2,100,ERDA/2101/,166
167,-1500.0,42.0,43.0,69000.0,8800.0,,,,,48.0,6371.2,100,ERDA/2101/,167
168,-1500.0,53.0,107.0,72000.0,7200.0,,,,,37.0,6371.2,100,ERDA/2101/,168
169,-1500.0,35.5,24.0,,,1.4,4.2,54.0,2.4,54.5,6371.2,100,ERDA/2101/,169
170,-1500.0,34.5,112.4,,,7.4,3.8,49.7,2.4,55.5,6371.2,100,ERDA/2101/,170
171,-1500.0,41.6,25.4,68400.0,5000.0,2.5,4.8,58.9,2.4,48.4,6371.2,100,ERDA/2101/,171
172,-1500.0,26.0,33.0,47100.0,5000.0,,,,,64.0,6371.2,100,ERDA/2101/,172
173,-1490.0,44.4,238.2,53600.0,5000.0,,,,,45.6,6371.2,100,ERDA/2101/,173
174,-1490.0,44.4,238.2,,,-3.4,6.6,68.2,2.4,45.6,6371.2,100,ERDA/2101/,174
175,-1485.0,19.5,205.1,21260.0,9530.0,,,33.3,2.4,70.5,6371.2,100,ERDA/2101/,175
176,-1480.0,54.0,107.5,53600.0,7000.0,,,,,36.0,6371.2,100,ERDA/2101/,176
177,-1475.0,26.0,33.0,49900.0,5000.0,,,,,64.0,6371.2,100,ERDA/2101/,177
178,-1455.0,19.7,246.4,34800.0,6600.0,,,,,70.3,6371.2,100,ERDA/2101/,178
179,-1450.0,34.7,113.7,59900.0,5000.0,,,,,55.3,6371.2,100,ERDA/2101/,179
180,-1450.0,42.0,43.0,51000.0,5900.0,,,,,48.0,6371.2,100,ERDA/2101/,180
181,-1450.0,42.0,43.0,45000.0,7800.0,,,,,48.0,6371.2,100,ERDA/2101/,181
182,-1450.0,42.0,43.0,53000.0,6100.0,,,,,48.0,6371.2,100,ERDA/2101/,182
183,-1450.0,41.7,46.1,60000.0,8000.0,-5.0,7.2,70.0,2.4,48.3,6371.2,100,ERDA/2101/,183
184,-1450.0,32.1,48.4,50800.0,5000.0,,,,,57.9,6371.2,100,ERDA/2101/,184
185,-1450.0,32.1,48.4,52600.0,5000.0,,,,,57.9,6371.2,100,ERDA/2101/,185
186,-1450.0,32.1,48.4,52000.0,5000.0,,,,,57.9,6371.2,100,ERDA/2101/,186
187,-1450.0,32.1,48.4,50900.0,5000.0,,,,,57.9,6371.2,100,ERDA/2101/,187
188,-1450.0,34.8,36.9,,,-1.4,5.7,49.3,3.7,55.2,6371.2,100,ERDA/2101/,188
189,-1450.0,35.0,24.8,,,-3.4,5.4,63.1,2.4,55.0,6371.2,100,ERDA/2101/,189
190,-1450.0,35.0,24.8,,,6.0,15.9,,,55.0,6371.2,100,ERDA/2101/,190
191,-1450.0,35.1,24.7,,,-6.2,4.9,60.1,2.4,54.9,6371.2,100,ERDA/2101/,191
192,-1450.0,35.1,24.7,,,4.5,5.1,61.3,2.4,54.9,6371.2,100,ERDA/2101/,192
193,-1450.0,35.1,26.0,,,-5.3,4.6,57.5,2.4,54.9,6371.2,100,ERDA/2101/,193
194,-1450.0,35.1,25.8,,,-3.9,4.9,59.5,2.4,54.9,6371.2,100,ERDA/2101/,194
195,-1450.0,35.2,26.2,,,-4.2,4.3,54.8,2.4,54.8,6371.2,100,ERDA/2101/,195
196,-1450.0,35.2,26.3,,,-4.9,4.3,55.1,2.4,54.8,6371.2,100,ERDA/2101/,196
197,-1450.0,35.2,25.0,,,-5.7,4.8,59.1,2.4,54.8,6371.2,100,ERDA/2101/,197
198,-1450.0,35.3,25.4,,,-3.9,4.9,59.6,2.4,54.7,6371.2,100,ERDA/2101/,198
199,-1450.0,35.3,25.4,,,-3.4,4.9,59.9,2.4,54.7,6371.2,100,ERDA/2101/,199
200,-1450.0,35.3,25.4,,,6.4,8.4,59.6,4.2,54.7,6371.2,100,ERDA/2101/,200
201,-1450.0,35.3,25.4,,,,,62.8,7.0,54.7,6371.2,100,ERDA/2101/,201
202,-1450.0,36.3,25.4,,,10.6,4.6,57.3,2.4,53.7,6371.2,100,ERDA/2101/,202
203,-1450.0,36.4,25.4,,,-0.2,4.8,59.3,2.4,53.6,6371.2,100,ERDA/2101/,203
204,-1450.0,36.4,25.4,,,-0.9,4.4,55.7,2.4,53.6,6371.2,100,ERDA/2101/,204
205,-1450.0,36.4,25.4,,,1.4,10.0,59.7,5.0,53.6,6371.2,100,ERDA/2101/,205
206,-1450.0,36.4,25.4,,,-1.5,10.7,57.4,5.7,53.6,6371.2,100,ERDA/2101/,206
207,-1450.0,35.3,25.2,,,-4.8,5.1,60.9,2.4,54.7,6371.2,100,ERDA/2101/,207
208,-1450.0,29.5,30.6,,,,,61.5,2.4,60.5,6371.2,100,ERDA/2101/,208
209,-1450.0,53.6,0.1,,,-7.4,8.1,72.2,2.4,36.4,6371.2,100,ERDA/2101/,209
210,-1440.0,25.4,31.0,41000.0,5000.0,,,,,64.6,6371.2,100,ERDA/2101/,210
211,-1435.0,25.7,32.6,57200.0,5000.0,,,,,64.3,6371.2,100,ERDA/2101/,211
212,-1435.0,39.0,356.5,51800.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,212
213,-1430.0,25.7,32.6,55500.0,5000.0,,,,,64.3,6371.2,100,ERDA/2101/,213
214,-1430.0,33.2,43.5,49900.0,13100.0,,,,,56.8,6371.2,100,ERDA/2101/,214
215,-1425.0,25.4,31.0,52500.0,5000.0,,,,,64.6,6371.2,100,ERDA/2101/,215
216,-1425.0,38.0,67.0,47800.0,5000.0,,,,,52.0,6371.2,100,ERDA/2101/,216
217,-1415.0,39.0,356.5,49000.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,217
218,-1400.0,32.6,44.6,51800.0,5000.0,,,,,57.4,6371.2,100,ERDA/2101/,218
219,-1400.0,25.4,31.0,56000.0,5000.0,,,,,64.6,6371.2,100,ERDA/2101/,219
220,-1400.0,41.9,41.8,46900.0,5000.0,,,,,48.1,6371.2,100,ERDA/2101/,220
221,-1400.0,42.0,43.0,50000.0,14800.0,,,,,48.0,6371.2,100,ERDA/2101/,221
222,-1400.0,55.0,109.0,35100.0,5000.0,,,,,35.0,6371.2,100,ERDA/2101/,222
223,-1400.0,56.0,109.0,50600.0,5100.0,,,,,34.0,6371.2,100,ERDA/2101/,223
224,-1400.0,31.0,101.7,,,,,,,59.0,6371.2,100,ERDA/2101/,224
225,-1400.0,50.6,13.8,49300.0,5000.0,,,,,39.4,6371.2,100,ERDA/2101/,225
226,-1400.0,29.5,30.6,66400.0,6600.0,,,,,60.5,6371.2,100,ERDA/2101/,226
227,-1400.0,29.5,30.6,61500.0,12300.0,,,,,60.5,6371.2,100,ERDA/2101/,227
228,-1400.0,38.0,67.0,48600.0,5000.0,,,,,52.0,6371.2,100,ERDA/2101/,228
229,-1400.0,19.7,204.1,35980.0,5000.0,-4.8,4.9,40.6,3.7,70.3,6371.2,100,ERDA/2101/,229
230,-1400.0,19.5,205.1,45700.0,5000.0,,,42.0,6.8,70.5,6371.2,100,ERDA/2101/,230
231,-1400.0,34.9,26.3,,,5.9,3.8,49.3,2.4,55.1,6371.2,100,ERDA/2101/,231
232,-1400.0,37.6,22.9,,,1.2,5.5,63.3,2.4,52.4,6371.2,100,ERDA/2101/,232
233,-1400.0,29.5,30.6,,,,,66.7,2.4,60.5,6371.2,100,ERDA/2101/,233
234,-1400.0,42.2,24.8,55720.0,5190.0,7.2,4.4,56.0,2.4,47.8,6371.2,100,ERDA/2101/,234
235,-1395.0,39.0,356.5,44200.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,235
236,-1385.0,38.0,23.7,40000.0,5000.0,,,,,52.0,6371.2,100,ERDA/2101/,236
237,-1380.0,30.9,116.0,,,,,53.0,2.4,59.1,6371.2,100,ERDA/2101/,237
238,-1375.0,42.0,43.0,48000.0,7800.0,,,,,48.0,6371.2,100,ERDA/2101/,238
239,-1375.0,29.5,30.6,60000.0,5000.0,,,66.7,2.4,60.5,6371.2,100,ERDA/2101/,239
240,-1375.0,39.0,356.5,49800.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,240
241,-1375.0,19.7,204.0,,,2.7,3.2,39.3,2.4,70.3,6371.2,100,ERDA/2101/,241
242,-1375.0,40.3,23.5,48600.0,10200.0,,,,,49.7,6371.2,100,ERDA/2101/,242
243,-1365.0,27.6,30.9,67500.0,5000.0,,,,,62.4,6371.2,100,ERDA/2101/,243
244,-1360.0,27.4,31.0,79000.0,5000.0,,,,,62.6,6371.2,100,ERDA/2101/,244
245,-1360.0,27.4,31.0,64000.0,6200.0,,,,,62.6,6371.2,100,ERDA/2101/,245
246,-1355.0,39.0,356.5,48400.0,5000.0,,,,,51.0,6371.2,100,ERDA/2101/,246
247,-1355.0,35.1,26.3,54200.0,5800.0,,,,,54.9,6371.2,100,ERDA/2101/,247
248,-1355.0,35.1,26.3,54000.0,5000.0,,,,,54.9,6371.2,100,ERDA/2101/,248
249,-1350.0,42.4,42.1,64000.0,7400.0,15.0,7.6,71.0,2.4,47.6,6371.2,100,ERDA/2101/,249
250,-1350.0,48.7,39.1,74000.0,5000.0,-5.0,9.0,74.0,2.4,41.3,6371.2,100,ERDA/2101/,250
251,-1350.0,42.0,43.0,83000.0,9100.0,,,,,48.0,6371.2,100,ERDA/2101/,251
252,-1350.0,42.0,43.0,40000.0,5000.0,,,,,48.0,6371.2,100,ERDA/2101/,252
253,-1350.0,42.4,42.1,62000.0,6600.0,20.0,7.6,71.0,2.4,47.6,6371.2,100,ERDA/2101/,253
254,-1350.0,27.4,31.2,44400.0,5000.0,,,,,62.6,6371.2,100,ERDA/2101/,254
255,-1350.0,35.0,24.8,,,-4.2,4.5,56.6,2.4,55.0,6371.2,100,ERDA/2101/,255
256,-1350.0,51.1,358.8,,,8.7,12.6,70.5,4.2,38.9,6371.2,100,ERDA/2101/,256
257,-1350.0,48.7,39.1,,,-4.0,12.4,78.5,2.4,41.3,6371.2,100,ERDA/2101/,257
258,-1350.0,25.7,32.6,45800.0,5000.0,,,,,64.3,6371.2,100,ERDA/2101/,258
259,-1345.0,31.0,27.6,53750.0,5000.0,,,,,59.0,6371.2,100,ERDA/2101/,259
